subject,Particular Scenario No#,answer,explanation,version,embed_level,question_id,category: Lily (2+3),Zach (3+4),Yuchen (4+1),Mira (1+2),code
66,528,sincere,she does not know what happened on the trip and had no reason to suspect otherwise,1,b,8b,R,R,,,R
67,529,sincere,"They've been close and friends usually give a positive response to each other. Unless they were ""frienemies"", it seems like Olivia would have taken the response at face value.",1,b,1b,R,R,,,R
67,530,sincere,"As they are partners, I'd expect that Jane knows how happy Catherine is to be going to the gym, even if she doesn't agree with it. So she'd take it as sincere (although she'd probably recognize that Catherine doesn't actually want to lift a cow--but I don't think that statement counts as sarcasm)",1,c,2c,I,I,,,I
67,531,sincere,"Once again, as they are close, it seems like Anastasia would probably be nice about it. If Jack never realized he'd mixed up the salt and sugar, he'd think his cake actually came out ok and that Anastasia enjoyed it (at least enough to be kind about it). ",1,a,3a,R,R,,,R
67,532,sincere,"Julia might be offended by the response, but it would be a strange thing to say with sarcastic intent.",1,b,4b,O,O,,,O
67,533,sincere,"This is harder. If Eric is aware of the conflict between the magazine and the brand, OR if he noticed the scoff, he might read it as sarcastic, but with the information given, it's unlikely that he would read further into it, even though Phillip almost certainly meant it sarcastically.",1,c,5c,R,R,,,R
67,534,sarcastic,"This is also more challenging. Having seen the fight and not knowing the two of them well, David might have interpreted it as said with an eyeroll. But he might also recognize that the fight was not an indicator of their relationship.",1,a,6a,R,R,,,R
67,535,sarcastic,"Ken only knows that it ended badly, but he doesn't know about Ana's feelings since. If she said it with no other context and no reasons, he might interpret it as sarcasm. If she gave reasons for thinking so, he'd probably take it as sincere.",1,a,7a,R,R,,,R
67,536,sincere,"Having no further context, it seems unlikely that Elizabeth would see sarcasm here.",1,b,8b,R,R,,,R
68,537,sincere,Olivia would think that Alice genuinely likes her bangs as Alice has bangs herself.,1,b,1b,R,R,,,R
68,538,sarcastic,"Jane would interpret it as sarcasm, as she obviously couldn't actually lift a cow.",1,c,2c,R,D,R,,R
68,539,sincere,Jack would interpret it as sincere as he did not know that he used sugar instead of salt.,1,a,3a,R,R,,,R
68,540,sincere,It's too abrupt of a message to be interpreted as sincer.,1,b,4b,D,D,,,D
68,541,sincere,He would interpret it as sincere as he did not know Phillip's history with the company.,1,c,5c,R,R,,,R
68,542,sarcastic,David would think it was sarcastic as seen them in a heated argument.,1,a,6a,R,R,,,R
68,543,sincere,It could be interpreted as sincere as she had been in a relationship with James.,1,a,7a,O,R,O,,O
68,544,sincere,Elizabeth did not know what had happened and so there would be no reason for her to interpret the comment as sarcastic.,1,b,8b,R,R,,,R
69,545,sarcastic,"Alice is annoyed that Olivia is copying her hairstyle, and Olivia is also going out of her way to tell Alice about it. ",1,b,1b,S,S,,,S
69,546,sincere,Catherine knows Jane believes it to be too early for her to be back at the gym. There is not much of a reason for Catherine to respond hastily and sarcastically to Jane.,1,c,2c,S,S,,,S
69,547,sincere,"The cake was in fact, not perfect. But poor Jack hasn't a clue so there is no reason he would think Anastasia was being sarcastic.",1,a,3a,R,R,,,R
69,548,sarcastic,"Julia does not know the Margaret has an aversion to dogs. Presumably, she would think Margaret is just being a silly goose.",1,b,4b,R,R,,,R
69,549,sincere,Eric does not have the background context of the situation.,1,c,5c,R,R,,,R
69,550,sarcastic,"David just witnessed the reckoning of the brothers, there is no way he thinks they like one another.",1,a,6a,R,R,,,R
69,551,sarcastic,Societal context would tell Ken that the majority of people do not think their ex is a great person.,1,a,7a,R,O,O,,O
69,552,sarcastic,The word nice over text does not actually mean nice. It carries a negative connotation.,1,b,8b,D,D,,,D
70,553,sincere,as i feel she was protecting the feelings of her friend she was being sincere,2,a,1a,S,S,,,S
70,554,sincere,she seems excited and this feels like a sincere thought,2,b,2b,S,S,,,S
70,555,sarcastic,as they are best friends i feel she was being sarcastic about the cake and this would not hurt jacks feelings,2,b,3b,S,S,,,S
70,556,sincere,as margaret had this trauma i feel her response is sincere and she is actually afraid of the dog,2,c,4c,S,S,,,S
70,557,sarcastic,as phillip scoffed i feel like the reply has a element of sarcasm,2,a,5a,S,S,,,S
70,558,sincere,as they enjoy spending time with eachother i feel this is a sincere letter and david will take it that way,2,b,6b,S,S,,,S
70,559,sincere,as they kept in regular contact i see no reason why not believe this is a sincere text and ken will interrupt it as so.,2,c,7c,S,I,I,,I
70,560,sarcastic,i feel there is a sense of confusion so i feel elizabeth would interpret this text as sarcastic,2,c,8c,O,O,,,O
71,561,sincere,"Because neither of them have indicated dislike of the hairstyle, nor a preestablished dislike of the hairstyle.",2,a,1a,R,R,,,R
71,562,sarcastic,Jane knows about Catherine's injury and so will understand the exaggerated enthusiasm from Catherine would be too much from someone freshly recovering from a back injury.,2,b,2b,R,R,,,R
71,563,sincere,Jack does not know his mistake and such a response from Anastasia would seem like common courtesy.,2,b,3b,R,R,,,R
71,564,sarcastic,Julia does not know about Margaret's past trauma with dogs and so the comment will seem out of place unless it was a joke.,2,c,4c,R,R,,,R
71,565,sincere,"Eric does not know that Philip dislikes his style of fashion, and as the interview went will and fashion is highly subjective Eric may just consider it a genuine compliment.",2,a,5a,R,R,,,R
71,566,sarcastic,David does not know of the genuine friendship the brothers have for each other and having only seen the heated argument will not be quick to believe such a statement.,2,b,6b,R,R,,,R
71,567,sincere,Ken has no knowledge of how they broke up and so can only take her word and may think they broke up amicably.,2,c,7c,R,R,,,R
71,568,sincere,Elizabeth has no idea what happened to May during the trip nor her feelings throughout so Elizabeth can only take May's word for it.,2,c,8c,R,R,,,R
72,569,sarcastic,"As they are lifelong friends, Olivia would know her friends reactions to events.",1,b,1b,I,I,,,I
72,570,sincere,Because Jane understands her partner and also understands how important it is for Catherine to return to full fitness.,1,c,2c,O,R,R,,R
72,571,sincere,Anastasia understands and accepts the sincerity of Jack's gesture!,1,a,3a,S,S,,,S
72,572,sarcastic,Julia probably does not know about Margaret's experience and therefore might think of this as sarcastic.,1,b,4b,R,R,,,R
72,573,sincere,Eric does not know the history of the incident that occured with Phillip.,1,c,5c,R,R,,,R
72,574,sarcastic,David will go by what he witnessed and may not know that Jeremy enjoys spending time with Spencer.,1,a,6a,R,R,,,R
72,575,sarcastic,Ken may not be aware of the communication James and Ana have maintained even after the break up,1,a,7a,R,R,,,R
72,576,sarcastic,Probably because May had already told Elizabeth about her feelings for Kate.,1,b,8b,I,I,,,I
73,577,sincere,the omg adds more excitement and sincerity to the response. the exclamation marks makes it seem like she is being sincere,0,c,1c,D,D,,,D
73,578,sincere,"although is making a comparison to lifting a cow, it doesn't make her response sarcastic, but shows her passion.",0,a,2a,D,D,,,D
73,579,sarcastic,"jack knows hes a terrible cook, so the fact she said it was perfect, would suggest to jack that she is joking. Also the aren/t you so sweet is a bit patronising. ",0,c,3c,D,I,I,,I
73,580,sincere,it is honest and truthful as margaret does not like dogs. Julia knows that not everyone likes dogs.,0,a,4a,S,S,,,S
73,581,sincere,"Although philip scoffed, eric doesn't know it was because of the jacket. Also as he just sent a kind gesture to phillip, he would expect something sincere in return, not a sarcastic comment as that is rude. ",0,b,5b,R,R,,,R
73,582,sarcastic,he had a heated argument in front of david. david knows they've had a sensitive argument and would be able to see that jeremy is being sarcastic.,0,c,6c,R,R,,,R
73,583,sarcastic,"Although Ana genuinely thinks james is a good person, other people such as ken clearly does not know this, otherwise he wouldnt have asked. Also they had a very dramatic fight so people clearly think they are not on good terms because of that.",0,b,7b,R,R,,,R
73,584,sincere,"I think she would interpret it as sincere, but knows that something happened during it, as the response is quite brief and short.",0,a,8a,D,D,,,D
74,585,sincere,they are friends and Olivia doesnt think that Alice have reason to lie,2,a,1a,R,R,,,R
74,586,sincere,"Catherine knows her partner worries about her, so she tells the truth",2,b,2b,S,S,,,S
74,587,sincere,"He didnt notice that he put salt instead of sugar, so cant think that anastasia is sarcastic",2,b,3b,R,R,,,R
74,588,sarcastic,"Julia doesnt know about margarets past, so going to think she is being sarcastic",2,c,4c,R,R,,,R
74,589,sincere,As Eric really likes is own jacket he wont think other people will not,2,a,5a,R,R,,,R
74,590,sarcastic,"they dont know each other very well, and as david saw the argument , think that its the way they are all the time",2,b,6b,R,R,,,R
74,591,sarcastic,the person going to think about the time they knew each other and so going to make judgement about that time,2,c,7c,R,R,,,R
74,592,sincere,"she doesnt know what the other was thinking, so no reason to be sarcastic",2,c,8c,R,R,,,R
75,593,sincere,I think Alice does not want to upset her friend,1,b,1b,S,S,,,S
75,594,sincere,I think Jane would feel that Catherine is telling her that her back is fine and there is no need to worry.,1,c,2c,R,R,O,,O
75,595,sincere,Jack would know that Anastasia does not want to hurt his feelings,1,a,3a,,I,S,,I
75,596,sincere,Margaret is being honest and wants to ensure that Julia is aware she is frightened,1,b,4b,,S,S,,S
75,597,sarcastic,There was no need to mention the jacket so to make a comment about it seems like it was done deliberately to be sarcastic,1,c,5c,,D,D,,D
75,598,sincere,"I think Jeremy really does like Spencer despite them fighting, but this is quite common amongst siblings.",1,a,6a,,S,S,,S
75,599,sincere,I can't see any reason why Ken would want to make a sarcastic comment.,1,a,7a,,S,O,,N
75,600,sincere,I think May was being genuine because nice things did happen to her on the trip,1,b,8b,,S,O,,S
76,601,sincere,I don't think Alice meant to be sarcastic and was just saying what she thought Olivia would want to hear. I don't feel there is any indication of sarcasm.,1,b,1b,,S,S,,S
76,602,sincere,As shes knows the backstory i dont thinks she would views this as sarcastic.,1,c,2c,,R,I,,R
76,603,sarcastic,She is making a joke about the lack of sugar in the cake,1,a,3a,,S,S,,S
76,604,sarcastic,She is jus joking as she personally doesn't like dogs.,1,b,4b,,S,S,,S
76,605,sarcastic,He clearly wasn't being truthful. However i found the situation rather unbelievable.,1,c,5c,,S,R,,S
76,606,sincere,I don't think they would understand the concept of sarcasm at this age.,1,a,6a,,O,O,,O
76,607,sincere,She does not give enough detail to appear sarcastic.,1,a,7a,,D,D,,D
76,608,sincere,I think she would of questioned the lack of detail. However lack of detail is not an indicator that the text was meant to be sarcastic.,1,b,8b,,R,D,,D
77,609,sincere,Olivia has no way of knowing that Alice was annoyed by Olivia's new bangs.,0,c,1c,,R,R,,R
77,610,sincere,Jane should know Catherine well enough to realize that Catherine is excited.,0,a,2a,,I,I,,I
77,611,sincere,Anastasia is clearly attempting to protect her best friend's feelings.,0,c,3c,,S,S,,S
77,612,sarcastic,"Based on the reactions of her other friends, Julia likely thinks that Margaret is attempting to be funny. ",0,a,4a,,R,R,,R
77,613,sincere,"Although Philip is attempting to be sarcastic, Eric does not know him well enough to see anything other than compliment.",0,b,5b,,R,R,,R
77,614,sarcastic,David does not know the background of the two brothers.,0,c,6c,,R,R,,R
77,615,sarcastic,"Ken is unaware that the two have repaired their relationship enough, since the fight, to be friends now. ",0,b,7b,,R,R,,R
77,616,sincere,"The answer, on its surface, was neutral, and the feeling was not conveyed over text. ",0,a,8a,,D,D,,D
78,617,sincere,they have done everything together and had a similar identity up until this point so she likely wouldn't know that Alice would be annoyed by her haircut,0,c,1c,,R,I,,R
78,618,sincere,Jane probably knows that Catherine was excited to go back to the gym,0,a,2a,,I,I,,I
78,619,sincere,Jack doesn't seem aware that his cake was messed up so has no reason to think she wouldn't have liked it,0,c,3c,,R,R,,R
78,620,sarcastic,"Julia and Margaret just met so Julia most likely doesn't know about Margaret's aversion to dogs/bulldogs, plus describing a puppy as ""scary"" would likely be interpreted as silly. ",0,a,4a,,R,R,,R
78,621,sincere,Phillip was polite and friendly to Eric plus as the manager of a fashion magazine he must take clothes seriously so Eric has no reason to think that any comments about his clothing would be anything other than sincere.,0,b,5b,,R,R,,R
78,622,sarcastic,David has only seen them argue plus it's quite common for siblings to be rude/sarcastic about each other.,0,c,6c,,R,R,,R
78,623,sincere,Even though Ken hasn't talked to Ana since her break up with James he likely still knows that they're on good terms now from other people.,0,b,7b,,I,I,,I
78,624,sincere,Elizabeth probably heard/saw via social media or elsewhere that Mary was having a good time on the trip while she was on it and since this is shortly after the trip she probably hasn't yet realised that Mary is bitter/reluctant to talk about the trip yet,0,a,8a,,I,R,,I
79,625,sincere,"I would think although she is annoyed that she has copied her, it's her best friend and so she wants her friend to be happy and maybe also sees it as a compliment.",1,b,1b,,S,I,,S
79,626,sincere,I think it is obvious Catherine is pleased with her progress and that she is ust being mega enthusiastic after overcoming her challenges.,1,c,2c,,S,D,,S
79,627,sincere,"I would think, even if Anastasia thought it was disgusting, she was probably extremely grateful for the gesture.",1,a,3a,,S,I,,S
79,628,sarcastic,"As most people have said her dog is cute, I think she would think she was being sarcastic, well sarcastically humerous maybe.",1,b,4b,,R,I,,R
79,629,sarcastic,"I think it would've been apparent that Phillip had a distaste for the jacket, especially with the mumbled scoff, so I think Eric would probably see it as sarcastic.",1,c,5c,,R,I,,I
79,630,sarcastic,"He'd just seen them arguing and probably assumed they don't get along very well, so he might well think he is being sarcastic.",1,a,6a,,R,R,,R
79,631,sarcastic,"As Ken hasn't spoken to her since the break up, he will probably not know that they have remained friends and therefore assume she is being sarcastic.",1,a,7a,,R,R,,R
79,632,sincere,"She has no reason to doubt it, and although it is short and in no way, elaborate, I don't feel she would have reason to think it was anything but sincere.",1,b,8b,,R,R,,R
80,633,sincere,"if she always loved to do things in the same way before, there's no reason to think this time is different",0,c,1c,,R,I,,O
80,634,sarcastic,you can't lift a cow,0,a,2a,,D,O,,O
80,635,sincere,he has no reason to think the opposite as he isn't aware of his mistake,0,c,3c,,R,R,,R
80,636,sincere,people have different tastes and aversions,0,a,4a,,S,O,,O
80,637,sincere,eric has no reason to think that particular brand is bad,0,b,5b,,R,R,,R
80,638,sarcastic,he's just seen them fight,0,c,6c,,R,R,,R
80,639,sincere,sometimes fights don't change feelings,0,b,7b,,O,O,,O
80,640,sincere,elizabeth gave her no reason to think the opposite,0,a,8a,,R,R,,R
81,641,sincere,I think as old friends Alice would want Olivia to be happy and may have decided that imitation is the sincerest form of flattery,0,c,1c,,S,I,,S
81,642,sincere,She's hit a PR which would be helping her through her pain.,0,a,2a,,S,R,,S
81,643,sarcastic,"I think the word ""sweet"" applied to Jack who has sent a salty cake, is pretty sarcastic!",0,c,3c,,D,D,,D
81,644,sarcastic,No-one can imagine that someone would not like their dog.,0,a,4a,,O,O,,O
81,645,sarcastic,There would have been clues that the jacket was not admired.,0,b,5b,,R,I,,I
81,646,sincere,The arguments would be everyday and unremarkable to the brothers and they would be surprised when others took them more seriously.,0,c,6c,,S,I,,S
81,647,sincere,Borderline but if she felt otherwise she could have said so,0,b,7b,,O,O,,O
81,648,sarcastic,"It's a very restrained comment to make after several weeks together and she may have had wind that something was up,",0,a,8a,,D,D,,D
82,649,sincere,"Given she seems unaware there's no reason to suspect sarcasm, nor would that be likely in this sentence as it'd be hurtful",0,c,1c,,O,R,,R
82,650,sincere,"Again, nothing to indicate sarcasm based on the context",0,a,2a,,O,O,,O
82,651,sincere,Without knowing the cake is salty there's no reason to suspect the comment isn't meant as stated. Even with that knowledge it wouldn't necessarily be sarcasm,0,c,3c,,R,R,,R
82,652,sincere,"Again, no reason to suspect sarcasm, nor is it intended as",0,a,4a,,R,O,,O
82,653,sincere,The comment was intended as scorn rather than purely sarcasm but since fashion is subjective as hell and Eric likes the jacket and nobody is that much of a dick after a job interview I'd assume he'd interpret it sincerely,0,b,5b,,R,I,,R
82,654,sincere,I don't know how old people are in elementary school but presumably below the age where you'd expect an understanding of sarcasm,0,c,6c,,O,O,,O
82,655,sincere,This one would be mostly down to the tone of delivery so since she's being genuine there's no reason to suggest it'd be interpreted as sarcastic,0,b,7b,,S,D,,S
82,656,sincere,With no other context there's no reason to suspect sarcasm,0,a,8a,,R,O,,R
83,657,sincere,"They are friends, I wouldnt expect my friend to be annoyed just because we both have bangs. I think it's a weak reason to be annoyed at a lifelong friend.",1,b,1b,,S,I,,O
83,658,sarcastic,"It's a flippant, light-hearted tone. Clearly exaggeration, and she's just excited about her fitness progress.",1,c,2c,,D,D,,D
83,659,sincere,"I'm assuming he doesn't know he mixed up the sugar with salt. He has no reason to think she isn't appreciative of his efforts, even if he isn't the best cook.",1,a,3a,,R,R,,R
83,660,sincere,"Bulldogs have a reputation, and it's not a light hearted thing you might say in jest or as a joke. ",1,b,4b,,O,I,,O
83,661,sincere,"Would have no reason to doubt the sincerity of the statement, unless he's privy to the feud, but if he was he surely would have avoided wearing the brand to the interview.",1,c,5c,,R,R,,R
83,662,sarcastic,"Although they get on generally, the fact that they just got into a fight in front of David means that in that moment Jeremy probably isn't feeling very favourable towards his brother so the comment doesn't seem sincere.",1,a,6a,,R,I,,S
83,663,sarcastic,"Hasn't spoken to her since the breakup, so is probably unaware that they are still close. It's unusual for ex partners to be close, so he would probably assume it was a sarcastic comment.",1,a,7a,,R,R,,R
83,664,sincere,"Elizabeth would have no reason to think that May would be feeling resentful about the trip, or what had gone on there. 'It was nice' seems sincere, if a little blunt.",1,b,8b,,R,R,,R
84,665,sincere,She doesn't know Alice's real life reaction and can only take her opinion from her text. Which case Olivia thinks Alice approves of it.,1,b,1b,,R,R,,R
84,666,sincere,Catherine is using a simile to describe how she's feeling.,1,c,2c,,S,O,,S
84,667,sincere,He doesn't know that he messed up the ingredients therefore he believes the text is sincere.,1,a,3a,,R,R,,R
84,668,sincere,Its her personal opinion.,1,b,4b,,S,O,,S
84,669,sincere,Eric doesn't know the circumstance of which his jacket has on Phillip,1,c,5c,,R,R,,R
84,670,sarcastic,"From David's point of view, he would think Jeremy doesn't like Spencer much therefore his interpretation would be sarcastic",1,a,6a,,R,R,,R
84,671,sincere,"despite their past, she still has a place in her heart for him.",1,a,7a,,S,I,,S
84,672,sincere,Its a very basic reply and will most likely assume that May is enjoyed herself.,1,b,8b,,D,D,,D
85,673,sincere,There is no cause to think it is sarcasm,1,b,1b,,R,O,,O
85,674,sincere,It is a positive response that shows she is happy with the workout.,1,c,2c,,S,D,,S
85,675,sincere,"Although the cake was not good, she is trying to spare Jack's feelings.",1,a,3a,,S,S,,S
85,676,sincere,She is genuinely scared by the dog.,1,b,4b,,S,S,,S
85,677,sincere,"Even though Philip was lying, there is no reason for Eric to suspect that, so he would not tale the comment as sarcasm.",1,c,5c,,R,R,,R
85,678,sincere,"An argument would not mean Jeremy hated Spencer, so it is sincere.",1,a,6a,,R,I,,I
85,679,sincere,The reply is not acerbic enough to be sarcasm.,1,a,7a,,D,D,,D
85,680,sincere,There was no bitterness or edge in the reply,1,b,8b,,D,D,,D
86,681,sincere,Olivia would have taken her friend's comment at face value,1,b,1b,,R,I,,R
86,682,sincere,"Jane would have no reason to think otherwise, seemingly Catherine did not pick up Jane's concerns",1,c,2c,,R,R,,R
86,683,sincere,Anastasia would have tasted the salt content but apparently did not want to upset Jack.  But the use of the word 'sweet' in the text could mean a slight hint of sarcasm.,1,a,3a,,S,S,,S
86,684,sincere,Margaret was being honest I feel based on her previous experience,1,b,4b,,S,S,,S
86,685,sarcastic,"In this situation Phillip had no need to respond at all to the thank you note, why mention the jacket at all unless he was trying to make a point,",1,c,5c,,D,O,,O
86,686,sincere,"Although he witnessed the argument, David has no need to question Jeremy's sincerity",1,a,6a,,R,O,,R
86,687,sincere,"Ana had no need for sarcasm, just stating a fact.",1,a,7a,,S,O,,S
86,688,sincere,"Rather than being sarcastic, May was just providing little information",1,b,8b,,S,O,,S
87,689,sincere,"because they have remained friends ,her friend must not have hurt her extremely often",2,a,1a,,I,O,,O
87,690,sarcastic,"because she's not able to lift a cow,it's meant for comedic effect",2,b,2b,,D,O,,O
87,691,sincere,"she's trying to be nice,""aren't you so sweet!'",2,b,3b,,D,S,,S
87,692,sincere,Margaret has  strong aversion to bulldogs because of a traumatic incident,2,c,4c,,S,S,,S
87,693,sincere,because it was a reply to a thank you note,2,a,5a,,D,O,,O
87,694,sincere,"because Jeremy genuinely enjoys spending time with Spencer and thinks that he is a good person,which was probably included in the letter",2,b,6b,,I,R,,I
87,695,sarcastic,because he may only know about the very dramatic fight & nothing since then,2,c,7c,,R,R,,R
87,696,sincere,the trip was enjoyable up to the point of going home,2,c,8c,,S,O,,S
88,697,sincere,The reply is very expressive and doesn't hint at any sarcasm.,1,b,1b,,D,D,,D
88,698,sarcastic,No one lifts a cow unless it's unavoidable.,1,c,2c,,D,O,,O
88,699,sincere,Jack doesn't know he made a mistake so there's no reason for him to not take it as sincerity.,1,a,3a,,R,R,,R
88,700,sarcastic,Margaret calling a cute dog scary when Julia is used to hearing that the dog is cute can probably sound like sarcasm.,1,b,4b,,R,I,,R
88,701,sincere,Eric doesn't know about Phillips past regarding the brand.,1,c,5c,,R,R,,R
88,702,sarcastic,"He's witnessed them arguing, so assumes that they have a bad relationship.",1,a,6a,,R,R,,R
88,703,sincere,The fact that Ana is still regularly talking to her ex probably is an indication to Ken that she is being genuine.,1,a,7a,,I,S,,I
88,704,sincere,Nothing in her response indicates sarcasm.,1,b,8b,,D,O,,D
89,705,sincere,Alice is being nice to her friend and not saying how she really feels.,1,b,1b,,S,S,,S
89,706,sincere,The response is based on genuine enthusiasm.,1,c,2c,,S,O,,S
89,707,sincere,Anastasia is beng kind and taking into account the lack of cooking skills of her friend.,1,a,3a,,S,S,,S
89,708,sincere,The response does represent the feelings of Margaret and is quite genuine.,1,b,4b,,S,O,,S
89,709,sarcastic,Phillip does not like this jacket and his response is most likley sarcastic.,1,c,5c,,S,S,,S
89,710,sincere,The brothers are quite close and the sentiment the letter seems to be genuine.,1,a,6a,,S,O,,S
89,711,sincere,There seems to be no bad feeling between the former couple and the response is probably quite sincere.,1,a,7a,,S,I,,S
89,712,sincere,May was probaby not feeling so positive about the trip. Her response to the question was not totally honest but she did not want to provide personal information.,1,b,8b,,S,S,,S
90,713,sincere,"I think Olivia's replies was a genuine compliment. I don't seem to find any form of sarcasm in her response. Alice might not like the hairstyle, but it might look good on her still. ",2,a,1a,,S,D,,S
90,714,sincere,Jane would read Catherine's message as trying to explain that she feels perfectly well enough to gym and she doesn't need to worry about her,2,b,2b,,O,I,,I
90,715,sincere,"I think Anastasia recognizes Jack does not bake, but she appreciates his effort.",2,b,3b,,S,S,,S
90,716,sarcastic,"Margaret respond was sarcastic because of her experience with bulldogs. She probably is telling Julia that no matter how cute your puppy is, I hate dogs!!!",2,c,4c,,S,S,,S
90,717,sarcastic,Lols...that was obviously a sarcastic remark as Phillip didn't like the jacket. He showed that when he scoffs after seeing the jacket during the interview.,2,a,5a,,S,S,,S
90,718,sincere,I think Spencer genuinely mean what he said about Spencer in the letter as he enjoys his company. Children always fight and makeup.,2,b,6b,,S,S,,S
90,719,sincere,"Ana genuinely believe that James is a good person as the is still fond of him, and still made him her good friend.",2,c,7c,,S,S,,S
90,720,sincere,"Even though she did not eventually express her love to Kate, I think she genuinely enjoyed the trip. Their conversation and time spent together during the trip was obviously enjoyable. Her remark about Kate was sincere.",2,c,8c,,S,I,,S
91,721,sincere,"Although she may dislike it and not mean what she is saying, that is not what sarcasm is. The text is not different from the reply you would get from someone being sincere, and there is no way for Olivia to know without more context that she is not being genuine.",1,b,1b,,R,O,,R
91,722,sincere,"Catherine is expressing her genuine feelings, even though Jane might not like what is being expressed.",1,c,2c,,S,O,,S
91,723,sincere,"Anastasia is lying to protect his feelings, not being sarcastic. The aren't you so sweet part is clearly indicates this.",1,a,3a,,S,S,,S
91,724,sarcastic,"This is somewhat difficult to determine, as it would depend on Julia having knowledge of Margaret's phobia to understand it is genuine. Most people reading a text of 'your dog is so scary' about a small puppy would assume you were being ironic /sarcastic without further information/context.",1,b,4b,,R,D,,R
91,725,sincere,"Eric has no knowledge of Philips history/issues, so no reason to doubt the message is genuine. ",1,c,5c,,R,R,,R
91,726,sincere,"This is very difficult to determine, but probably on balance even if he had witnessed a fight between them, David would assume Jeremy was being genuine, and it was a one off. You would probably need more obvious or additional tonal evidence in the rest of what someone had written, to assume/infer they are being sarcastic. ",1,a,6a,,R,O,,R
91,727,sincere,"This is finely balanced, but as with the previous answer, while you might consider the possibility they are being sarcastic, without additional writing in the same tone around it, you would not assume on balance that this is sarcasm.",1,a,7a,,R,O,,R
91,728,sincere,"Nothing about it was nice implies sarcasm. Her friend might think she is holding something back or not being fully truthful, but you would not think of this as sarcasm.",1,b,8b,,D,D,,D
92,729,sincere,"Gesture and facial expression are not in the words, so Olivia is more likely to take the words at face value and believe what Alice has written.",0,c,1c,,R,D,,R
92,730,sincere,"Gesture and facial expression are not in the words, so Jane is more likely to take the words at face value and believe what Catherine has written.",0,a,2a,,R,D,,R
92,731,sincere,"Gesture and facial expression are not in the words, so Jack is more likely to take the words at face value and believe what Anastasia has written.",0,c,3c,,R,D,,R
92,732,sincere,"Puppies are not usually scary or scary-looking, so Julia might think that Margaret is being jokey in a sarcastic kind of way.",0,a,4a,,R,I,,R
92,733,sincere,"The jacket has nothing to do with the job, so Eric might interpret Phillip pointing it out as disrespectful.",0,b,5b,,D,I,,D
92,734,sarcastic,"Having witnessed the fight between the brothers, David might interpret the statement as a negative rather than a positive comment.",0,c,6c,,R,R,,R
92,735,sincere,"Even though she and Ken haven't spoken, he knows her well enough to believe her statement.",0,b,7b,,I,I,,I
92,736,sarcastic,Not so much sarcastis as guarded because of how the break ended compared to how it began.,0,a,8a,,S,I,,S
93,737,sincere,OLIVIA WOULD HAVE INTERPRETED ALICES REPLY AS SINCERE AS THEY HAVE BEEN LIFELONG FRIENDS AND WOULD ASSUME SHE WAS GENUINE,1,b,1b,,R,I,,R
93,738,sincere,i think jane would interpret catherines message as sincere as she is expressing her joy at being able to be successful at her gym class,1,c,2c,,S,S,,S
93,739,sarcastic,i think jack knows his cooking is poor and would realise anastasia is being jokey especially your so sweet comment,1,a,3a,,I,I,,I
93,740,sarcastic,i think julia would interpret margarets comments as sarcastic as the bull dog puppy would not look lightly to be scary,1,b,4b,,R,I,,R
93,741,sincere,i think eric would have interpreted philips reply as sincere as he would have had no prior knowledge of philips issues with the brand in question,1,c,5c,,R,R,,R
93,742,sarcastic,i think david believes that jememy is  being sarcastic as he saw the two brothers fighting in front of him,1,a,6a,,R,R,,R
93,743,sarcastic,i think ken would interpret ana text as sarcastic as last he knew ana and james broke up very dramatically,1,a,7a,,R,R,,R
93,744,sincere,i think elizabeth would have interpreted mays text as sincere as she would not know of mays heartache,1,b,8b,,R,R,,R
94,745,sarcastic,She is being sarcastic because she has the same hair style,1,b,1b,,S,O,,S
94,746,sincere,She sounded more concerned than anything,1,c,2c,,O,D,,D
94,747,sincere,"Does not sound like sarcasm, it just seems more like she is being thankful",1,a,3a,,D,O,,S
94,748,sincere,"She had a bag experience with this breed, so naturally is scared of it.",1,b,4b,,S,S,,S
94,749,sarcastic,He did not like the jacket with his outfit based on that i would say he is being sarcastic.,1,c,5c,,S,S,,S
94,750,sincere,Seems like he loves his brother,1,a,6a,,S,S,,S
94,751,sincere,Seems to still like James,1,a,7a,,S,S,,S
94,752,sincere,"Does not sound like she is being sarcastic, she enjoyed the trip until a point.",1,b,8b,,S,O,,S
95,753,sincere,They are lifelong friends so I think they would always say they like something the other has done even if they don't.,1,b,1b,,I,I,,I
95,754,sarcastic,"Cow's weight a lot, she was just saying that she feels very strong and ready to train. ",1,c,2c,,D,O,,S
95,755,sarcastic,She's likely saying hinting that the cake should be sweeter.,1,a,3a,,S,S,,S
95,756,sincere,Margaret isn't a dog person and for sure not a bulldog person so I think Julia would have heard in Margaret's voice that she was being serious.,1,b,4b,,D,S,,I
95,757,sincere,Eric didn't know that Phillip has an issue with the brand that the jacket was.,1,c,5c,,R,R,,R
95,758,sincere,They are bothers so I think David would understand that sometimes siblings fall out but they are family.,1,a,6a,,R,I,,I
95,759,sincere,They still talk fairly regularly so they must still like each others company but work better as friends.,1,a,7a,,S,I,,S
95,760,sincere,Elizabeth wasn't on the trip so she more that likely wouldn't have thought anything different.,1,b,8b,,R,R,,R
96,761,sincere,Nothing in her text suggests otherwise.,1,b,1b,,D,D,,D
